gene_ID	log10_9am	pvalue_9am	log10_9pm	pvalue_9pm
AT1G01050	-0.001541073	0.4843192	-0.017539385	1
AT1G01080	0.00724478	0.22881044	-0.012824926	0.165637609
AT1G01090	-0.000471613	0.464018276	-0.002892111	0.442354431
AT1G01100	0.007763437	0.376027365	-0.02158334	0.238902593
AT1G01160	-0.101075422	1	0.000804623	0.468407737
AT1G01170	0.163069405	1	0.000804623	0.468407737
AT1G01200	0.218134665	1	0.000804623	0.468407737
AT1G01300	0.011451387	0.050837469	-0.01832115	0.225528342
AT1G01320	-0.00203644	0.44730259	-0.00840263	0.115830376
AT1G01390	0.010932599	0.185530142	0.083265077	1
AT1G01470	0.096899561	0.020800288	-0.011151935	0.269407165
AT1G01490	-0.131715951	1	-0.131000575	1
AT1G01560	0.142388459	0.012106463	-0.021071336	0.173605704
AT1G01610	0.037516782	1	0.084185734	1
AT1G01620	0.039973362	0.014710406	-0.00409108	0.453494299
AT1G01710	0.051235378	1	0.12121348	0.014992656
AT1G01790	0.008541521	0.199684215	-0.007793915	0.342321264
AT1G01800	-0.001876023	0.449933011	-0.001226966	0.426542075
AT1G01820	-0.111169161	1	0.000804623	0.468407737
AT1G01910	-0.000404329	0.490706676	0.122882126	0.008371388
AT1G01960	0.085926811	1	-0.007239082	1
AT1G01980	0.014872908	0.284252996	0.007960951	0.103557513
AT1G02010	0.104437198	1	0.000804623	0.468407737
AT1G02020	0.129799741	1	-0.121883965	1
AT1G02080	0.010973386	0.114294283	-0.003591934	1
AT1G02100	0.145540225	0.011911814	0.202048244	1
AT1G02130	0.001943591	0.359970937	-0.014918609	0.193492432
AT1G02150	0.015730242	0.348019908	0.00078357	0.489799276
AT1G02280	0.014477676	0.19599506	0.004462668	0.334481884
AT1G02305	0.096069563	0.01594911	0.029072342	0.312296851
AT1G02335	-0.001909256	1	-0.02737448	0.103917057
AT1G02475	0.144305011	1	-0.014368624	1
AT1G02500	0.005277129	0.385906219	-0.020904076	0.195799725
AT1G02560	0.00567361	0.281601818	-0.005143551	0.395294927
AT1G02620	0.033749275	1	-0.006721806	1
AT1G02690	0.010932599	0.185530142	0.000804623	0.468407737
AT1G02780	-0.002860006	0.451692618	0.017369082	0.302383454
AT1G02840	0.159199077	1	0.000804623	0.468407737
AT1G02880	0.103282786	1	0.003244444	0.390233817
AT1G02890	-0.007132693	1	0.00465264	1
AT1G02910	0.014245538	0.124763181	-0.003262837	0.378978232
AT1G02920	-0.012836376	0.20487584	-0.012830696	0.218224341
AT1G02930	-0.007146493	0.347067187	-0.016333219	0.215823072
AT1G02950	0.010932599	0.185530142	0.089711964	1
AT1G03000	0.010932599	0.185530142	0.217030472	1
AT1G03030	0.099274585	1	-0.023622958	1
AT1G03090	0.127437283	1	0.037708205	0.026623962
AT1G03130	-0.009245468	0.255272577	-0.005401385	0.194435729
